input,output,type,IE
"But if you or anyone else touches me, beys, you're in jeopardy. Stay out of my life.","but if you or anyone else touches me, bas, you're dead meat. stay out of my life.",idiom,dead meat
"But if you or anyone else touches me, beys, you're in trouble. Stay out of my life.","but if you or anyone else touches me, bas, you're dead meat. stay out of my life.",idiom,dead meat
"If she can't get the votes, she's doomed.","if she can't get the votes, she's dead meat.",idiom,dead meat
"If she can't get the votes, she's in big trouble.","if she can't get the votes, she's dead meat.",idiom,dead meat
"If she can't get the votes, she's in danger.","if she can't get the votes, she's dead meat.",idiom,dead meat
"If she can't get the votes, she's in jeopardy.","if she can't get the votes, she's dead meat.",idiom,dead meat
"If she can't get the votes, she's in trouble.","if she can't get the votes, she's dead meat.",idiom,dead meat
"If my brother catches us messing with his stuff, we'll be doomed!","if my brother catches us messing with his stuff, we'll be dead meat!",idiom,dead meat
"If my brother catches us messing with his stuff, we'll be in big trouble!","if my brother catches us messing with his stuff, we'll be dead meat!",idiom,dead meat
"If my brother catches us messing with his stuff, we'll be in danger!","if my brother catches us messing with his stuff, we'll be dead meat!",idiom,dead meat
"If my brother catches us messing with his stuff, we'll be in trouble!","if my brother catches us messing with his stuff, we'll be dead meat!",idiom,dead meat
"Yeah, I was sick last week, but I'm feeling much better now.","yeah, i was under the weather last week, but i'm feeling much better now.",idiom,under the weather
"Yeah, I was unwell last week, but I'm feeling much better now.","yeah, i was under the weather last week, but i'm feeling much better now.",idiom,under the weather
"Yeah, I was in poor health last week, but I'm feeling much better now.","yeah, i was under the weather last week, but i'm feeling much better now.",idiom,under the weather
I feel sort of sick today.,i feel sort of under the weather today.,idiom,under the weather
I feel sort of unwell today.,i feel sort of under the weather today.,idiom,under the weather
I feel sort of in poor health today.,i feel sort of under the weather today.,idiom,under the weather
Whatever I ate for lunch is making me feel a bit sick.,whatever i ate for lunch is making me feel a bit under the weather.,idiom,under the weather
Whatever I ate for lunch is making me feel a bit unwell.,whatever i ate for lunch is making me feel a bit under the weather.,idiom,under the weather
Whatever I ate for lunch is making me feel a bit in poor health.,whatever i ate for lunch is making me feel a bit under the weather.,idiom,under the weather
She was suffering from stress and generally sick.,she was suffering from stress and generally under the weather.,idiom,under the weather
She was suffering from stress and generally unwell.,she was suffering from stress and generally under the weather.,idiom,under the weather
She was suffering from stress and generally in poor health.,she was suffering from stress and generally under the weather.,idiom,under the weather
You're only fifty! You're not old yet. Some people seem old at thirty.,you're only fifty! you're not over the hillyet. some people seem over the hill at thirty.,idiom,over the hill
You're only fifty! You're not past prime yet. Some people seem past prime at thirty.,you're only fifty! you're not over the hillyet. some people seem over the hill at thirty.,idiom,over the hill
